pp3year,level,schools_province,totalmale,totalfemale,totalstd,latitude,longitude
2566,ม.6,กระบี่,340,633,973,8.1106	,98.9071
2566,ม.6,กรุงเทพมหานคร,4094,6491,10585,13.7563	,100.5018
2566,ม.6,กาญจนบุรี,725,1198,1923,14.0089	,99.5280
2566,ม.6,กาฬสินธุ์,751,1359,2110,15.5333,	103.3333
2566,ม.6,กำแพงเพชร,825,1240,2065,16.4667,	99.5167
2566,ม.6,ขอนแก่น,680,1024,1704,16.4333,102.8333
2566,ม.6,จันทบุรี,750,885,1635,12.6084,	102.1071
2566,ม.6,ฉะเชิงเทรา,612,763,1375,13.6770,	101.1568
2566,ม.6,ชลบุรี,2102,3827,5929,13.3637	,100.9832
2566,ม.6,ชัยนาท,353,617,970,15.1972	,100.1255
2566,ม.6,ชัยภูมิ,446,579,1025,15.8000	,102.3333
2566,ม.6,ชุมพร,783,1287,2070,10.3833	,99.0799
2566,ม.6,ตรัง,1079,1786,2865,7.5584	,99.6114
2566,ม.6,ตราด,296,536,832,12.2390	,102.5226
2566,ม.6,ตาก,675,1266,1941,16.8864	,99.5226
2566,ม.6,นครนายก,95,144,239,14.2000	,101.2500
2566,ม.6,นครปฐม,1170,1280,2450,13.8211	,100.0678
2566,ม.6,นครพนม,869,1497,2366,17.4061	,104.5594
2566,ม.6,นครราชสีมา,1073,2522,3595,14.9750	,102.0940
2566,ม.6,นครศรีธรรมราช,1849,3259,5108,8.4328	,99.9610
2566,ม.6,นครสวรรค์,644,1024,1668,15.7496	,100.1330
2566,ม.6,นนทบุรี,803,1346,2149,13.8690	,100.5160
2566,ม.6,นราธิวาส,468,823,1291,6.4333	,101.7833
2566,ม.6,น่าน,475,661,1136,18.7672	,100.7730
2566,ม.6,บึงกาฬ,378,745,1123,18.3086	,103.0667
2566,ม.6,บุรีรัมย์,1330,2425,3755,14.8833	,103.1000
2566,ม.6,ปทุมธานี,1615,2085,3700,14.0000	,100.5000
2566,ม.6,ประจวบคีรีขันธ์,446,798,1244,11.8075	,99.7990
2566,ม.6,ปราจีนบุรี,669,1214,1883,13.5450	,101.3872
2566,ม.6,ปัตตานี,187,368,555,6.8711	,101.2500
2566,ม.6,พระนครศรีอยุธยา,893,1416,2309,	14.3534	,100.5688
2566,ม.6,พะเยา,236,373,609,19.1867	,99.8292
2566,ม.6,พังงา,131,195,326,8.4306	,98.6296
2566,ม.6,พัทลุง,391,594,985,7.6211	,100.0733
2566,ม.6,พิจิตร,608,986,1594,16.4200 ,100.3667
2566,ม.6,พิษณุโลก,846,1065,1911,16.8250	,100.2667
2566,ม.6,ภูเก็ต,184,587,771,7.8804	,98.3923
2566,ม.6,มหาสารคาม,594,964,1558,16.1833	,103.3167
2566,ม.6,มุกดาหาร,235,400,635,16.5456	,104.6667
2566,ม.6,ยะลา,29,73,102,6.5421	,101.2833
2566,ม.6,ยโสธร,288,511,799,15.7667	,104.3833
2566,ม.6,ระนอง,325,576,901,9.2083	,98.6175
2566,ม.6,ระยอง,1210,2124,3334,12.6742	,101.2705
2566,ม.6,ราชบุรี,964,1554,2518,13.5333	,99.8167
2566,ม.6,ร้อยเอ็ด,613,982,1595,16.0850	,103.6539
2566,ม.6,ลพบุรี,413,714,1127,14.8020	,100.6167
2566,ม.6,ลำปาง,426,688,1114,18.2908	,99.5071
2566,ม.6,ลำพูน,230,354,584,18.5731	,97.9428
2566,ม.6,ศรีสะเกษ,657,1368,2025,15.1202	,104.3333
2566,ม.6,สกลนคร,836,1867,2703,17.1833	,104.1667
2566,ม.6,สงขลา,893,1485,2378,7.2000	,100.6167
2566,ม.6,สตูล,350,807,1157,7.5089	,100.0667
2566,ม.6,สมุทรปราการ,788,1195,1983,13.6000	,100.6000
2566,ม.6,สมุทรสงคราม,101,140,241,13.4167	,99.9667
2566,ม.6,สมุทรสาคร,368,473,841,13.5500	,100.2833
2566,ม.6,สระบุรี,674,1089,1763,14.5333	,100.9333
2566,ม.6,สระแก้ว,412,741,1153,13.6167	,102.0833
2566,ม.6,สิงห์บุรี,55,78,133,14.8667	,100.4167
2566,ม.6,สุพรรณบุรี,1106,1848,2954,14.4667	,100.0833
2566,ม.6,สุราษฎร์ธานี,1487,2474,3961,9.1400	,99.3211
2566,ม.6,สุรินทร์,805,2067,2872,14.8833	,103.6667
2566,ม.6,สุโขทัย,799,1008,1807,17.0000	,99.8167
2566,ม.6,หนองคาย,488,807,1295,17.8667	,102.5833
2566,ม.6,หนองบัวลำภู,74,95,169,17.1167	,102.3833
2566,ม.6,อำนาจเจริญ,347,586,933,15.9340	,104.6160
2566,ม.6,อุดรธานี,947,2019,2966,17.4131	,102.7800
2566,ม.6,อุตรดิตถ์,318,481,799,17.6341	,100.1086
2566,ม.6,อุทัยธานี,265,388,653,15.3785	,100.0242
2566,ม.6,อุบลราชธานี,796,1570,2366,15.2490	,104.8518
2566,ม.6,อ่างทอง,430,730,1160,14.5945	,100.4348
2566,ม.6,เชียงราย,1045,1687,2732,19.9167	,99.8333
2566,ม.6,เชียงใหม่,852,1411,2263,18.7883	,98.9853
2566,ม.6,เพชรบุรี,350,505,855,12.9531	,99.9542
2566,ม.6,เพชรบูรณ์,394,709,1103,	,16.4167	101.1667
2566,ม.6,เลย,529,985,1514,17.5000	,101.2000
2566,ม.6,แพร่,369,878,1247,	18.1646	,100.1333
2566,ม.6,แม่ฮ่องสอน,336,560,896,19.3036	,97.9761
